127.0.0.1, 2015-03-31 17:35:39, GET, /, HTTP/1.1, 303, 0.000935
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/default/index, HTTP/1.1, 200, 1.459104
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000467
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001363
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000805
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000690
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000723
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001458
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001023
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000670
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000238
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000221
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000196
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000399
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001632
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001367
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001079
127.0.0.1, 2015-03-31 17:35:41, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000510
127.0.0.1, 2015-03-31 17:39:30, GET, /, HTTP/1.1, 303, 0.001179
127.0.0.1, 2015-03-31 17:39:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.100958
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/default/index, HTTP/1.1, 200, 0.104901
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.001288
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.000629
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.000950
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001781
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001560
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.005961
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000656
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000317
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.000524
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000742
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004065
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000651
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000406
127.0.0.1, 2015-03-31 17:39:46, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000395
127.0.0.1, 2015-03-31 17:39:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000659
127.0.0.1, 2015-03-31 17:39:49, POST, /admin/default/index, HTTP/1.1, 303, 0.029624
127.0.0.1, 2015-03-31 17:39:49, GET, /admin/default/site, HTTP/1.1, 200, 0.034997
